ObjectId,platnostod,platnostdo,datum_exportu,GlobalID,SHAPE_Length,SHAPE_Area
1887,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{E0811AB7-6E53-4148-9381-06587CB73A2A},0.000526624714502937,4.49092960297111e-09
1888,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{7D060B2F-AB0A-41A7-A050-7BD8307E8A09},0.000649092576889979,1.29723214427893e-08
1889,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{D7FC7F26-5487-4A67-9E05-DF9D54B2E4A4},0.000705324370060507,6.15903201103903e-09
1890,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{514E17EB-FBCF-44D7-B674-79C6DF26E4FB},0.00110245333121353,1.3280503710898e-08
1891,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{1E6095E0-1CF4-429E-AD83-5F54FB21973B},0.000322795916042872,3.4203531629349e-09
1892,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{06722BEA-2B78-42D8-982C-45F78E4D32BF},0.000912506651915693,1.12753643003339e-08
1893,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{754BEF14-E04E-4211-B5D4-39492E0E5804},0.000248619715151269,3.43476813748196e-09
1894,2020/08/03 00:00:00+00,2020/08/03 00:00:00+00,2022/03/31 00:00:00+00,{14AAEF8D-2ED2-4FE5-875B-4E7E81EA274C},0.000190959308111467,1.97071055059084e-09
1895,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{444C0C05-4A66-40DE-82C1-F9BBB79151F7},0.000562992700065463,6.46078908508232e-09
1896,2020/08/03 00:00:00+00,2020/08/03 00:00:00+00,2022/03/31 00:00:00+00,{777AAE80-4776-4EBB-8D94-23B3BC9F41FB},0.000188894922191074,1.73028593742833e-09
1897,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{203E0246-C877-432A-8995-E4BD5B973D4A},0.000943140141162438,2.48767597308047e-08
1898,2020/08/03 00:00:00+00,2020/08/03 00:00:00+00,2022/03/31 00:00:00+00,{8856E3DA-9272-4508-B4A0-4DF0452C297A},0.000181448212872867,1.79553920948894e-09
1899,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{61EE27EA-DAF1-4911-AB20-AD8823DBDF12},0.00116742423492286,3.16725639152908e-08
1900,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{6C6FCBA2-41F8-46D9-8AF9-F901EF5BA0A6},0.00173067851515186,3.81883511899766e-08
1901,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{207938BE-3F8A-4AB7-8633-538B38F85610},0.00165923878254471,3.65158233132124e-08
1902,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{FC74EC9A-9BF8-4DC3-9FB5-F633BBE55830},0.000604865322860564,5.22308401299253e-09
1903,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{16F48443-3502-49C7-90BF-B5DE7141C7DB},0.000785229855834115,1.60688710322833e-08
1904,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{65A24A5D-E3C1-4109-A766-C8293CAFDB72},0.000380526375455501,3.16595500872831e-09
1905,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{42DFBE73-E4CF-4BDB-802D-A8C453E442EE},0.00180610705942117,1.65600749578248e-08
1906,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{20A4121E-3E29-4658-881C-19068669DCE8},0.00117123633436638,1.05352116931772e-08
1907,2020/08/03 00:00:00+00,2999/12/31 00:00:00+00,2022/03/31 00:00:00+00,{3A1ADDCD-ABE8-46CE-A621-2E48F25D6A43},0.000995323398665411,9.05848369579586e-09
